name,code,division_type,codename,province_code,wards
Quận Ba Đình,1,huyện,quan_ba_dinh,1,[]
Quận Hoàn Kiếm,2,huyện,quan_hoan_kiem,1,[]
Quận Tây Hồ,3,huyện,quan_tay_ho,1,[]
Quận Long Biên,4,huyện,quan_long_bien,1,[]
Quận Cầu Giấy,5,huyện,quan_cau_giay,1,[]
Quận Đống Đa,6,huyện,quan_dong_da,1,[]
Quận Hai Bà Trưng,7,huyện,quan_hai_ba_trung,1,[]
Quận Hoàng Mai,8,huyện,quan_hoang_mai,1,[]
Quận Thanh Xuân,9,huyện,quan_thanh_xuan,1,[]
Huyện Sóc Sơn,16,huyện,huyen_soc_son,1,[]
Huyện Đông Anh,17,huyện,huyen_dong_anh,1,[]
Huyện Gia Lâm,18,huyện,huyen_gia_lam,1,[]
Quận Nam Từ Liêm,19,huyện,quan_nam_tu_liem,1,[]
Huyện Thanh Trì,20,huyện,huyen_thanh_tri,1,[]
Quận Bắc Từ Liêm,21,huyện,quan_bac_tu_liem,1,[]
Huyện Mê Linh,250,huyện,huyen_me_linh,1,[]
Quận Hà Đông,268,huyện,quan_ha_dong,1,[]
Thị xã Sơn Tây,269,huyện,thi_xa_son_tay,1,[]
Huyện Ba Vì,271,huyện,huyen_ba_vi,1,[]
Huyện Phúc Thọ,272,huyện,huyen_phuc_tho,1,[]
Huyện Đan Phượng,273,huyện,huyen_dan_phuong,1,[]
Huyện Hoài Đức,274,huyện,huyen_hoai_duc,1,[]
Huyện Quốc Oai,275,huyện,huyen_quoc_oai,1,[]
Huyện Thạch Thất,276,huyện,huyen_thach_that,1,[]
Huyện Chương Mỹ,277,huyện,huyen_chuong_my,1,[]
Huyện Thanh Oai,278,huyện,huyen_thanh_oai,1,[]
Huyện Thường Tín,279,huyện,huyen_thuong_tin,1,[]
Huyện Phú Xuyên,280,huyện,huyen_phu_xuyen,1,[]
Huyện Ứng Hòa,281,huyện,huyen_ung_hoa,1,[]
Huyện Mỹ Đức,282,huyện,huyen_my_duc,1,[]
Thành phố Hà Giang,24,huyện,thanh_pho_ha_giang,2,[]
Huyện Đồng Văn,26,huyện,huyen_dong_van,2,[]
Huyện Mèo Vạc,27,huyện,huyen_meo_vac,2,[]
Huyện Yên Minh,28,huyện,huyen_yen_minh,2,[]
Huyện Quản Bạ,29,huyện,huyen_quan_ba,2,[]
Huyện Vị Xuyên,30,huyện,huyen_vi_xuyen,2,[]
Huyện Bắc Mê,31,huyện,huyen_bac_me,2,[]
Huyện Hoàng Su Phì,32,huyện,huyen_hoang_su_phi,2,[]
Huyện Xín Mần,33,huyện,huyen_xin_man,2,[]
Huyện Bắc Quang,34,huyện,huyen_bac_quang,2,[]
Huyện Quang Bình,35,huyện,huyen_quang_binh,2,[]
Thành phố Cao Bằng,40,huyện,thanh_pho_cao_bang,4,[]
Huyện Bảo Lâm,42,huyện,huyen_bao_lam,4,[]
Huyện Bảo Lạc,43,huyện,huyen_bao_lac,4,[]
Huyện Hà Quảng,45,huyện,huyen_ha_quang,4,[]
Huyện Trùng Khánh,47,huyện,huyen_trung_khanh,4,[]
Huyện Hạ Lang,48,huyện,huyen_ha_lang,4,[]
Huyện Quảng Hòa,49,huyện,huyen_quang_hoa,4,[]
Huyện Hoà An,51,huyện,huyen_hoa_an,4,[]
Huyện Nguyên Bình,52,huyện,huyen_nguyen_binh,4,[]
Huyện Thạch An,53,huyện,huyen_thach_an,4,[]
Thành Phố Bắc Kạn,58,huyện,thanh_pho_bac_kan,6,[]
Huyện Pác Nặm,60,huyện,huyen_pac_nam,6,[]
Huyện Ba Bể,61,huyện,huyen_ba_be,6,[]
Huyện Ngân Sơn,62,huyện,huyen_ngan_son,6,[]
Huyện Bạch Thông,63,huyện,huyen_bach_thong,6,[]
Huyện Chợ Đồn,64,huyện,huyen_cho_don,6,[]
Huyện Chợ Mới,65,huyện,huyen_cho_moi,6,[]
Huyện Na Rì,66,huyện,huyen_na_ri,6,[]
Thành phố Tuyên Quang,70,huyện,thanh_pho_tuyen_quang,8,[]
Huyện Lâm Bình,71,huyện,huyen_lam_binh,8,[]
Huyện Na Hang,72,huyện,huyen_na_hang,8,[]
Huyện Chiêm Hóa,73,huyện,huyen_chiem_hoa,8,[]
Huyện Hàm Yên,74,huyện,huyen_ham_yen,8,[]
Huyện Yên Sơn,75,huyện,huyen_yen_son,8,[]
Huyện Sơn Dương,76,huyện,huyen_son_duong,8,[]
Thành phố Lào Cai,80,huyện,thanh_pho_lao_cai,10,[]
Huyện Bát Xát,82,huyện,huyen_bat_xat,10,[]
Huyện Mường Khương,83,huyện,huyen_muong_khuong,10,[]
Huyện Si Ma Cai,84,huyện,huyen_si_ma_cai,10,[]
Huyện Bắc Hà,85,huyện,huyen_bac_ha,10,[]
Huyện Bảo Thắng,86,huyện,huyen_bao_thang,10,[]
Huyện Bảo Yên,87,huyện,huyen_bao_yen,10,[]
Thị xã Sa Pa,88,huyện,thi_xa_sa_pa,10,[]
Huyện Văn Bàn,89,huyện,huyen_van_ban,10,[]
Thành phố Điện Biên Phủ,94,huyện,thanh_pho_dien_bien_phu,11,[]
Thị xã Mường Lay,95,huyện,thi_xa_muong_lay,11,[]
Huyện Mường Nhé,96,huyện,huyen_muong_nhe,11,[]
Huyện Mường Chà,97,huyện,huyen_muong_cha,11,[]
Huyện Tủa Chùa,98,huyện,huyen_tua_chua,11,[]
Huyện Tuần Giáo,99,huyện,huyen_tuan_giao,11,[]
Huyện Điện Biên,100,huyện,huyen_dien_bien,11,[]
Huyện Điện Biên Đông,101,huyện,huyen_dien_bien_dong,11,[]
Huyện Mường Ảng,102,huyện,huyen_muong_ang,11,[]
Huyện Nậm Pồ,103,huyện,huyen_nam_po,11,[]
Thành phố Lai Châu,105,huyện,thanh_pho_lai_chau,12,[]
Huyện Tam Đường,106,huyện,huyen_tam_duong,12,[]
Huyện Mường Tè,107,huyện,huyen_muong_te,12,[]
Huyện Sìn Hồ,108,huyện,huyen_sin_ho,12,[]
Huyện Phong Thổ,109,huyện,huyen_phong_tho,12,[]
Huyện Than Uyên,110,huyện,huyen_than_uyen,12,[]
Huyện Tân Uyên,111,huyện,huyen_tan_uyen,12,[]
Huyện Nậm Nhùn,112,huyện,huyen_nam_nhun,12,[]
Thành phố Sơn La,116,huyện,thanh_pho_son_la,14,[]
Huyện Quỳnh Nhai,118,huyện,huyen_quynh_nhai,14,[]
Huyện Thuận Châu,119,huyện,huyen_thuan_chau,14,[]
Huyện Mường La,120,huyện,huyen_muong_la,14,[]
Huyện Bắc Yên,121,huyện,huyen_bac_yen,14,[]
Huyện Phù Yên,122,huyện,huyen_phu_yen,14,[]
Huyện Mộc Châu,123,huyện,huyen_moc_chau,14,[]
Huyện Yên Châu,124,huyện,huyen_yen_chau,14,[]
Huyện Mai Sơn,125,huyện,huyen_mai_son,14,[]
Huyện Sông Mã,126,huyện,huyen_song_ma,14,[]
Huyện Sốp Cộp,127,huyện,huyen_sop_cop,14,[]
Huyện Vân Hồ,128,huyện,huyen_van_ho,14,[]
Thành phố Yên Bái,132,huyện,thanh_pho_yen_bai,15,[]
Thị xã Nghĩa Lộ,133,huyện,thi_xa_nghia_lo,15,[]
Huyện Lục Yên,135,huyện,huyen_luc_yen,15,[]
Huyện Văn Yên,136,huyện,huyen_van_yen,15,[]
Huyện Mù Căng Chải,137,huyện,huyen_mu_cang_chai,15,[]
Huyện Trấn Yên,138,huyện,huyen_tran_yen,15,[]
Huyện Trạm Tấu,139,huyện,huyen_tram_tau,15,[]
Huyện Văn Chấn,140,huyện,huyen_van_chan,15,[]
Huyện Yên Bình,141,huyện,huyen_yen_binh,15,[]
Thành phố Hòa Bình,148,huyện,thanh_pho_hoa_binh,17,[]
Huyện Đà Bắc,150,huyện,huyen_da_bac,17,[]
Huyện Lương Sơn,152,huyện,huyen_luong_son,17,[]
Huyện Kim Bôi,153,huyện,huyen_kim_boi,17,[]
Huyện Cao Phong,154,huyện,huyen_cao_phong,17,[]
Huyện Tân Lạc,155,huyện,huyen_tan_lac,17,[]
Huyện Mai Châu,156,huyện,huyen_mai_chau,17,[]
Huyện Lạc Sơn,157,huyện,huyen_lac_son,17,[]
Huyện Yên Thủy,158,huyện,huyen_yen_thuy,17,[]
Huyện Lạc Thủy,159,huyện,huyen_lac_thuy,17,[]
Thành phố Thái Nguyên,164,huyện,thanh_pho_thai_nguyen,19,[]
Thành phố Sông Công,165,huyện,thanh_pho_song_cong,19,[]
Huyện Định Hóa,167,huyện,huyen_dinh_hoa,19,[]
Huyện Phú Lương,168,huyện,huyen_phu_luong,19,[]
Huyện Đồng Hỷ,169,huyện,huyen_dong_hy,19,[]
Huyện Võ Nhai,170,huyện,huyen_vo_nhai,19,[]
Huyện Đại Từ,171,huyện,huyen_dai_tu,19,[]
Thành phố Phổ Yên,172,huyện,thanh_pho_pho_yen,19,[]
Huyện Phú Bình,173,huyện,huyen_phu_binh,19,[]
Thành phố Lạng Sơn,178,huyện,thanh_pho_lang_son,20,[]
Huyện Tràng Định,180,huyện,huyen_trang_dinh,20,[]
Huyện Bình Gia,181,huyện,huyen_binh_gia,20,[]
Huyện Văn Lãng,182,huyện,huyen_van_lang,20,[]
Huyện Cao Lộc,183,huyện,huyen_cao_loc,20,[]
Huyện Văn Quan,184,huyện,huyen_van_quan,20,[]
Huyện Bắc Sơn,185,huyện,huyen_bac_son,20,[]
Huyện Hữu Lũng,186,huyện,huyen_huu_lung,20,[]
Huyện Chi Lăng,187,huyện,huyen_chi_lang,20,[]
Huyện Lộc Bình,188,huyện,huyen_loc_binh,20,[]
Huyện Đình Lập,189,huyện,huyen_dinh_lap,20,[]
Thành phố Hạ Long,193,huyện,thanh_pho_ha_long,22,[]
Thành phố Móng Cái,194,huyện,thanh_pho_mong_cai,22,[]
Thành phố Cẩm Phả,195,huyện,thanh_pho_cam_pha,22,[]
Thành phố Uông Bí,196,huyện,thanh_pho_uong_bi,22,[]
Huyện Bình Liêu,198,huyện,huyen_binh_lieu,22,[]
Huyện Tiên Yên,199,huyện,huyen_tien_yen,22,[]
Huyện Đầm Hà,200,huyện,huyen_dam_ha,22,[]
Huyện Hải Hà,201,huyện,huyen_hai_ha,22,[]
Huyện Ba Chẽ,202,huyện,huyen_ba_che,22,[]
Huyện Vân Đồn,203,huyện,huyen_van_don,22,[]
Thành phố Đông Triều,205,huyện,thanh_pho_dong_trieu,22,[]
Thị xã Quảng Yên,206,huyện,thi_xa_quang_yen,22,[]
Huyện Cô Tô,207,huyện,huyen_co_to,22,[]
Thành phố Bắc Giang,213,huyện,thanh_pho_bac_giang,24,[]
Huyện Yên Thế,215,huyện,huyen_yen_the,24,[]
Huyện Tân Yên,216,huyện,huyen_tan_yen,24,[]
Huyện Lạng Giang,217,huyện,huyen_lang_giang,24,[]
Huyện Lục Nam,218,huyện,huyen_luc_nam,24,[]
Huyện Lục Ngạn,219,huyện,huyen_luc_ngan,24,[]
Huyện Sơn Động,220,huyện,huyen_son_dong,24,[]
Thị xã Việt Yên,222,huyện,thi_xa_viet_yen,24,[]
Huyện Hiệp Hòa,223,huyện,huyen_hiep_hoa,24,[]
Thị xã Chũ,224,huyện,thi_xa_chu,24,[]
Thành phố Việt Trì,227,huyện,thanh_pho_viet_tri,25,[]
Thị xã Phú Thọ,228,huyện,thi_xa_phu_tho,25,[]
Huyện Đoan Hùng,230,huyện,huyen_doan_hung,25,[]
Huyện Hạ Hoà,231,huyện,huyen_ha_hoa,25,[]
Huyện Thanh Ba,232,huyện,huyen_thanh_ba,25,[]
Huyện Phù Ninh,233,huyện,huyen_phu_ninh,25,[]
Huyện Yên Lập,234,huyện,huyen_yen_lap,25,[]
Huyện Cẩm Khê,235,huyện,huyen_cam_khe,25,[]
Huyện Tam Nông,236,huyện,huyen_tam_nong,25,[]
Huyện Lâm Thao,237,huyện,huyen_lam_thao,25,[]
Huyện Thanh Sơn,238,huyện,huyen_thanh_son,25,[]
Huyện Thanh Thuỷ,239,huyện,huyen_thanh_thuy,25,[]
Huyện Tân Sơn,240,huyện,huyen_tan_son,25,[]
Thành phố Vĩnh Yên,243,huyện,thanh_pho_vinh_yen,26,[]
Thành phố Phúc Yên,244,huyện,thanh_pho_phuc_yen,26,[]
Huyện Lập Thạch,246,huyện,huyen_lap_thach,26,[]
Huyện Tam Dương,247,huyện,huyen_tam_duong,26,[]
Huyện Tam Đảo,248,huyện,huyen_tam_dao,26,[]
Huyện Bình Xuyên,249,huyện,huyen_binh_xuyen,26,[]
Huyện Yên Lạc,251,huyện,huyen_yen_lac,26,[]
Huyện Vĩnh Tường,252,huyện,huyen_vinh_tuong,26,[]
Huyện Sông Lô,253,huyện,huyen_song_lo,26,[]
Thành phố Bắc Ninh,256,huyện,thanh_pho_bac_ninh,27,[]
Huyện Yên Phong,258,huyện,huyen_yen_phong,27,[]
Thị xã Quế Võ,259,huyện,thi_xa_que_vo,27,[]
Huyện Tiên Du,260,huyện,huyen_tien_du,27,[]
Thành phố Từ Sơn,261,huyện,thanh_pho_tu_son,27,[]
Thị xã Thuận Thành,262,huyện,thi_xa_thuan_thanh,27,[]
Huyện Gia Bình,263,huyện,huyen_gia_binh,27,[]
Huyện Lương Tài,264,huyện,huyen_luong_tai,27,[]
Thành phố Hải Dương,288,huyện,thanh_pho_hai_duong,30,[]
Thành phố Chí Linh,290,huyện,thanh_pho_chi_linh,30,[]
Huyện Nam Sách,291,huyện,huyen_nam_sach,30,[]
Thị xã Kinh Môn,292,huyện,thi_xa_kinh_mon,30,[]
Huyện Kim Thành,293,huyện,huyen_kim_thanh,30,[]
Huyện Thanh Hà,294,huyện,huyen_thanh_ha,30,[]
Huyện Cẩm Giàng,295,huyện,huyen_cam_giang,30,[]
Huyện Bình Giang,296,huyện,huyen_binh_giang,30,[]
Huyện Gia Lộc,297,huyện,huyen_gia_loc,30,[]
Huyện Tứ Kỳ,298,huyện,huyen_tu_ky,30,[]
Huyện Ninh Giang,299,huyện,huyen_ninh_giang,30,[]
Huyện Thanh Miện,300,huyện,huyen_thanh_mien,30,[]
Quận Hồng Bàng,303,huyện,quan_hong_bang,31,[]
Quận Ngô Quyền,304,huyện,quan_ngo_quyen,31,[]
Quận Lê Chân,305,huyện,quan_le_chan,31,[]
Quận Hải An,306,huyện,quan_hai_an,31,[]
Quận Kiến An,307,huyện,quan_kien_an,31,[]
Quận Đồ Sơn,308,huyện,quan_do_son,31,[]
Quận Dương Kinh,309,huyện,quan_duong_kinh,31,[]
Thành phố Thuỷ Nguyên,311,huyện,thanh_pho_thuy_nguyen,31,[]
Quận An Dương,312,huyện,quan_an_duong,31,[]
Huyện An Lão,313,huyện,huyen_an_lao,31,[]
Huyện Kiến Thuỵ,314,huyện,huyen_kien_thuy,31,[]
Huyện Tiên Lãng,315,huyện,huyen_tien_lang,31,[]
Huyện Vĩnh Bảo,316,huyện,huyen_vinh_bao,31,[]
Huyện Cát Hải,317,huyện,huyen_cat_hai,31,[]
Thành phố Hưng Yên,323,huyện,thanh_pho_hung_yen,33,[]
Huyện Văn Lâm,325,huyện,huyen_van_lam,33,[]
