name,code,division_type,codename,phone_code,districts
Thành phố Hà Nội,1,tỉnh,thanh_pho_ha_noi,24,[]
Tỉnh Hà Giang,2,tỉnh,tinh_ha_giang,219,[]
Tỉnh Cao Bằng,4,tỉnh,tinh_cao_bang,206,[]
Tỉnh Bắc Kạn,6,tỉnh,tinh_bac_kan,209,[]
Tỉnh Tuyên Quang,8,tỉnh,tinh_tuyen_quang,207,[]
Tỉnh Lào Cai,10,tỉnh,tinh_lao_cai,214,[]
Tỉnh Điện Biên,11,tỉnh,tinh_dien_bien,215,[]
Tỉnh Lai Châu,12,tỉnh,tinh_lai_chau,213,[]
Tỉnh Sơn La,14,tỉnh,tinh_son_la,212,[]
Tỉnh Yên Bái,15,tỉnh,tinh_yen_bai,216,[]
Tỉnh Hoà Bình,17,tỉnh,tinh_hoa_binh,218,[]
Tỉnh Thái Nguyên,19,tỉnh,tinh_thai_nguyen,208,[]
Tỉnh Lạng Sơn,20,tỉnh,tinh_lang_son,205,[]
Tỉnh Quảng Ninh,22,tỉnh,tinh_quang_ninh,203,[]
Tỉnh Bắc Giang,24,tỉnh,tinh_bac_giang,204,[]
Tỉnh Phú Thọ,25,tỉnh,tinh_phu_tho,210,[]
Tỉnh Vĩnh Phúc,26,tỉnh,tinh_vinh_phuc,211,[]
Tỉnh Bắc Ninh,27,tỉnh,tinh_bac_ninh,222,[]
Tỉnh Hải Dương,30,tỉnh,tinh_hai_duong,220,[]
Thành phố Hải Phòng,31,tỉnh,thanh_pho_hai_phong,225,[]
Tỉnh Hưng Yên,33,tỉnh,tinh_hung_yen,221,[]
Tỉnh Thái Bình,34,tỉnh,tinh_thai_binh,227,[]
Tỉnh Hà Nam,35,tỉnh,tinh_ha_nam,226,[]
Tỉnh Nam Định,36,tỉnh,tinh_nam_dinh,228,[]
Tỉnh Ninh Bình,37,tỉnh,tinh_ninh_binh,229,[]
Tỉnh Thanh Hóa,38,tỉnh,tinh_thanh_hoa,237,[]
Tỉnh Nghệ An,40,tỉnh,tinh_nghe_an,238,[]
Tỉnh Hà Tĩnh,42,tỉnh,tinh_ha_tinh,239,[]
Tỉnh Quảng Bình,44,tỉnh,tinh_quang_binh,232,[]
Tỉnh Quảng Trị,45,tỉnh,tinh_quang_tri,233,[]
Thành phố Huế,46,tỉnh,thanh_pho_hue,234,[]
Thành phố Đà Nẵng,48,tỉnh,thanh_pho_da_nang,236,[]
Tỉnh Quảng Nam,49,tỉnh,tinh_quang_nam,235,[]
Tỉnh Quảng Ngãi,51,tỉnh,tinh_quang_ngai,255,[]
Tỉnh Bình Định,52,tỉnh,tinh_binh_dinh,256,[]
Tỉnh Phú Yên,54,tỉnh,tinh_phu_yen,257,[]
Tỉnh Khánh Hòa,56,tỉnh,tinh_khanh_hoa,258,[]
Tỉnh Ninh Thuận,58,tỉnh,tinh_ninh_thuan,259,[]
Tỉnh Bình Thuận,60,tỉnh,tinh_binh_thuan,252,[]
Tỉnh Kon Tum,62,tỉnh,tinh_kon_tum,260,[]
Tỉnh Gia Lai,64,tỉnh,tinh_gia_lai,269,[]
Tỉnh Đắk Lắk,66,tỉnh,tinh_dak_lak,262,[]
Tỉnh Đắk Nông,67,tỉnh,tinh_dak_nong,261,[]
Tỉnh Lâm Đồng,68,tỉnh,tinh_lam_dong,263,[]
Tỉnh Bình Phước,70,tỉnh,tinh_binh_phuoc,271,[]
Tỉnh Tây Ninh,72,tỉnh,tinh_tay_ninh,276,[]
Tỉnh Bình Dương,74,tỉnh,tinh_binh_duong,274,[]
Tỉnh Đồng Nai,75,tỉnh,tinh_dong_nai,251,[]
Tỉnh Bà Rịa - Vũng Tàu,77,tỉnh,tinh_ba_ria_vung_tau,254,[]
Thành phố Hồ Chí Minh,79,tỉnh,thanh_pho_ho_chi_minh,28,[]
Tỉnh Long An,80,tỉnh,tinh_long_an,272,[]
Tỉnh Tiền Giang,82,tỉnh,tinh_tien_giang,273,[]
Tỉnh Bến Tre,83,tỉnh,tinh_ben_tre,275,[]
Tỉnh Trà Vinh,84,tỉnh,tinh_tra_vinh,294,[]
Tỉnh Vĩnh Long,86,tỉnh,tinh_vinh_long,270,[]
Tỉnh Đồng Tháp,87,tỉnh,tinh_dong_thap,277,[]
Tỉnh An Giang,89,tỉnh,tinh_an_giang,296,[]
Tỉnh Kiên Giang,91,tỉnh,tinh_kien_giang,297,[]
Thành phố Cần Thơ,92,tỉnh,thanh_pho_can_tho,292,[]
Tỉnh Hậu Giang,93,tỉnh,tinh_hau_giang,293,[]
Tỉnh Sóc Trăng,94,tỉnh,tinh_soc_trang,299,[]
Tỉnh Bạc Liêu,95,tỉnh,tinh_bac_lieu,291,[]
Tỉnh Cà Mau,96,tỉnh,tinh_ca_mau,290,[]
