name,code,division_type,codename,district_code
Phường Phúc Xá,1,xã,phuong_phuc_xa,1
Phường Trúc Bạch,4,xã,phuong_truc_bach,1
Phường Vĩnh Phúc,6,xã,phuong_vinh_phuc,1
Phường Cống Vị,7,xã,phuong_cong_vi,1
Phường Liễu Giai,8,xã,phuong_lieu_giai,1
Phường Quán Thánh,13,xã,phuong_quan_thanh,1
Phường Ngọc Hà,16,xã,phuong_ngoc_ha,1
Phường Điện Biên,19,xã,phuong_dien_bien,1
Phường Đội Cấn,22,xã,phuong_doi_can,1
Phường Ngọc Khánh,25,xã,phuong_ngoc_khanh,1
Phường Kim Mã,28,xã,phuong_kim_ma,1
Phường Giảng Võ,31,xã,phuong_giang_vo,1
Phường Thành Công,34,xã,phuong_thanh_cong,1
Phường Phúc Tân,37,xã,phuong_phuc_tan,2
Phường Đồng Xuân,40,xã,phuong_dong_xuan,2
Phường Hàng Mã,43,xã,phuong_hang_ma,2
Phường Hàng Buồm,46,xã,phuong_hang_buom,2
Phường Hàng Đào,49,xã,phuong_hang_dao,2
Phường Hàng Bồ,52,xã,phuong_hang_bo,2
Phường Cửa Đông,55,xã,phuong_cua_dong,2
Phường Lý Thái Tổ,58,xã,phuong_ly_thai_to,2
Phường Hàng Bạc,61,xã,phuong_hang_bac,2
Phường Hàng Gai,64,xã,phuong_hang_gai,2
Phường Chương Dương,67,xã,phuong_chuong_duong,2
Phường Hàng Trống,70,xã,phuong_hang_trong,2
Phường Cửa Nam,73,xã,phuong_cua_nam,2
Phường Hàng Bông,76,xã,phuong_hang_bong,2
Phường Tràng Tiền,79,xã,phuong_trang_tien,2
Phường Trần Hưng Đạo,82,xã,phuong_tran_hung_dao,2
Phường Phan Chu Trinh,85,xã,phuong_phan_chu_trinh,2
Phường Hàng Bài,88,xã,phuong_hang_bai,2
Phường Phú Thượng,91,xã,phuong_phu_thuong,3
Phường Nhật Tân,94,xã,phuong_nhat_tan,3
Phường Tứ Liên,97,xã,phuong_tu_lien,3
Phường Quảng An,100,xã,phuong_quang_an,3
Phường Xuân La,103,xã,phuong_xuan_la,3
Phường Yên Phụ,106,xã,phuong_yen_phu,3
Phường Bưởi,109,xã,phuong_buoi,3
Phường Thụy Khuê,112,xã,phuong_thuy_khue,3
Phường Thượng Thanh,115,xã,phuong_thuong_thanh,4
Phường Ngọc Thụy,118,xã,phuong_ngoc_thuy,4
Phường Giang Biên,121,xã,phuong_giang_bien,4
Phường Đức Giang,124,xã,phuong_duc_giang,4
Phường Việt Hưng,127,xã,phuong_viet_hung,4
Phường Gia Thụy,130,xã,phuong_gia_thuy,4
Phường Ngọc Lâm,133,xã,phuong_ngoc_lam,4
Phường Phúc Lợi,136,xã,phuong_phuc_loi,4
Phường Bồ Đề,139,xã,phuong_bo_de,4
Phường Long Biên,145,xã,phuong_long_bien,4
Phường Thạch Bàn,148,xã,phuong_thach_ban,4
Phường Phúc Đồng,151,xã,phuong_phuc_dong,4
Phường Cự Khối,154,xã,phuong_cu_khoi,4
Phường Nghĩa Đô,157,xã,phuong_nghia_do,5
Phường Nghĩa Tân,160,xã,phuong_nghia_tan,5
Phường Mai Dịch,163,xã,phuong_mai_dich,5
Phường Dịch Vọng,166,xã,phuong_dich_vong,5
Phường Dịch Vọng Hậu,167,xã,phuong_dich_vong_hau,5
Phường Quan Hoa,169,xã,phuong_quan_hoa,5
Phường Yên Hoà,172,xã,phuong_yen_hoa,5
Phường Trung Hoà,175,xã,phuong_trung_hoa,5
Phường Cát Linh,178,xã,phuong_cat_linh,6
Phường Văn Miếu - Quốc Tử Giám,181,xã,phuong_van_mieu_quoc_tu_giam,6
Phường Láng Thượng,187,xã,phuong_lang_thuong,6
Phường Ô Chợ Dừa,190,xã,phuong_o_cho_dua,6
Phường Văn Chương,193,xã,phuong_van_chuong,6
Phường Hàng Bột,196,xã,phuong_hang_bot,6
Phường Láng Hạ,199,xã,phuong_lang_ha,6
Phường Khâm Thiên,202,xã,phuong_kham_thien,6
Phường Thổ Quan,205,xã,phuong_tho_quan,6
Phường Nam Đồng,208,xã,phuong_nam_dong,6
Phường Quang Trung,214,xã,phuong_quang_trung,6
Phường Trung Liệt,217,xã,phuong_trung_liet,6
Phường Phương Liên - Trung Tự,226,xã,phuong_phuong_lien_trung_tu,6
Phường Kim Liên,229,xã,phuong_kim_lien,6
Phường Phương Mai,232,xã,phuong_phuong_mai,6
Phường Thịnh Quang,235,xã,phuong_thinh_quang,6
Phường Khương Thượng,238,xã,phuong_khuong_thuong,6
Phường Nguyễn Du,241,xã,phuong_nguyen_du,7
Phường Bạch Đằng,244,xã,phuong_bach_dang,7
Phường Phạm Đình Hổ,247,xã,phuong_pham_dinh_ho,7
Phường Lê Đại Hành,256,xã,phuong_le_dai_hanh,7
Phường Đồng Nhân,259,xã,phuong_dong_nhan,7
Phường Phố Huế,262,xã,phuong_pho_hue,7
Phường Thanh Lương,268,xã,phuong_thanh_luong,7
Phường Thanh Nhàn,271,xã,phuong_thanh_nhan,7
Phường Bách Khoa,277,xã,phuong_bach_khoa,7
Phường Đồng Tâm,280,xã,phuong_dong_tam,7
Phường Vĩnh Tuy,283,xã,phuong_vinh_tuy,7
Phường Quỳnh Mai,289,xã,phuong_quynh_mai,7
Phường Bạch Mai,292,xã,phuong_bach_mai,7
Phường Minh Khai,295,xã,phuong_minh_khai,7
Phường Trương Định,298,xã,phuong_truong_dinh,7
Phường Thanh Trì,301,xã,phuong_thanh_tri,8
Phường Vĩnh Hưng,304,xã,phuong_vinh_hung,8
Phường Định Công,307,xã,phuong_dinh_cong,8
Phường Mai Động,310,xã,phuong_mai_dong,8
Phường Tương Mai,313,xã,phuong_tuong_mai,8
Phường Đại Kim,316,xã,phuong_dai_kim,8
Phường Tân Mai,319,xã,phuong_tan_mai,8
Phường Hoàng Văn Thụ,322,xã,phuong_hoang_van_thu,8
Phường Giáp Bát,325,xã,phuong_giap_bat,8
Phường Lĩnh Nam,328,xã,phuong_linh_nam,8
Phường Thịnh Liệt,331,xã,phuong_thinh_liet,8
Phường Trần Phú,334,xã,phuong_tran_phu,8
Phường Hoàng Liệt,337,xã,phuong_hoang_liet,8
Phường Yên Sở,340,xã,phuong_yen_so,8
Phường Nhân Chính,343,xã,phuong_nhan_chinh,9
Phường Thượng Đình,346,xã,phuong_thuong_dinh,9
Phường Khương Trung,349,xã,phuong_khuong_trung,9
Phường Khương Mai,352,xã,phuong_khuong_mai,9
Phường Thanh Xuân Trung,355,xã,phuong_thanh_xuan_trung,9
Phường Phương Liệt,358,xã,phuong_phuong_liet,9
Phường Khương Đình,364,xã,phuong_khuong_dinh,9
Phường Thanh Xuân Bắc,367,xã,phuong_thanh_xuan_bac,9
Phường Hạ Đình,373,xã,phuong_ha_dinh,9
Thị trấn Sóc Sơn,376,xã,thi_tran_soc_son,16
Xã Bắc Sơn,379,xã,xa_bac_son,16
Xã Minh Trí,382,xã,xa_minh_tri,16
Xã Hồng Kỳ,385,xã,xa_hong_ky,16
Xã Nam Sơn,388,xã,xa_nam_son,16
Xã Trung Giã,391,xã,xa_trung_gia,16
Xã Tân Hưng,394,xã,xa_tan_hung,16
Xã Minh Phú,397,xã,xa_minh_phu,16
Xã Phù Linh,400,xã,xa_phu_linh,16
Xã Bắc Phú,403,xã,xa_bac_phu,16
Xã Tân Minh,406,xã,xa_tan_minh,16
Xã Quang Tiến,409,xã,xa_quang_tien,16
Xã Hiền Ninh,412,xã,xa_hien_ninh,16
Xã Tân Dân,415,xã,xa_tan_dan,16
Xã Tiên Dược,418,xã,xa_tien_duoc,16
Xã Việt Long,421,xã,xa_viet_long,16
Xã Xuân Giang,424,xã,xa_xuan_giang,16
Xã Mai Đình,427,xã,xa_mai_dinh,16
Xã Đức Hoà,430,xã,xa_duc_hoa,16
Xã Thanh Xuân,433,xã,xa_thanh_xuan,16
Xã Đông Xuân,436,xã,xa_dong_xuan,16
Xã Kim Lũ,439,xã,xa_kim_lu,16
Xã Phú Cường,442,xã,xa_phu_cuong,16
Xã Phú Minh,445,xã,xa_phu_minh,16
Xã Phù Lỗ,448,xã,xa_phu_lo,16
